año,sector,actividad,subactividad,categoria,id_ipcc,tipo_de_gas,valor_en_toneladas_de_co2e,tipo_de_registro
2010,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2011,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2012,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2013,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2014,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2015,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2016,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2017,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2018,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2019,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
2020,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.01,Emisión
2021,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
2022,Energía,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,N2O,0.0,Sin emisión/remoción
1990,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,3.26,Emisión
1991,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,4.37,Emisión
1992,Energía,Actividades de quema de combustible,Industrias de la energía,Fabricación de combustibles sólidos y otras industrias energéticas,1A1ciii,CO2,3.55,Emisión
